gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude
302766,818,1543402001,5804215.1289,550739.895322,9.745535999993043,52.38583799996817
302767,818,1543402002,5804218.92047,550740.809142,9.745550000001366,52.38587200000676
302768,818,1543402003,5804221.94396,550742.751844,9.745578999999031,52.385898999962194
302769,818,1543402004,5804224.85272,550744.355405,9.745603000006485,52.38592499996209
302770,818,1543402005,5804229.09973,550746.285489,9.745632000006976,52.38596300003493
302771,818,1543402006,5804233.79374,550748.415153,9.745663999992894,52.38600499995646
302772,818,1543402007,5804239.37338,550750.127298,9.745689999998875,52.38605500002983
302773,818,1543402008,5804243.62599,550752.601826,9.745726999992646,52.3860929999583
302774,818,1543402009,5804249.98422,550754.305935,9.745753000005244,52.3861499999776
302775,818,1543402010,5804256.0228,550757.374614,9.745799000004965,52.38620399997293
302776,818,1543402011,5804261.95718,550761.124999,9.745855000007785,52.3862570000359
302777,818,1543402012,5804267.10734,550764.338951,9.74590299999483,52.38630299997744
302778,818,1543402013,5804271.80277,550766.604695,9.745937000003345,52.386344999969936
302779,818,1543402014,5804275.60768,550768.811555,9.745970000001137,52.38637899998995
302780,818,1543402015,5804279.52241,550770.881152,9.746001000006352,52.38641399996604
302781,818,1543402016,5804282.4361,550772.96107,9.746031999993072,52.38644000002396
302782,818,1543402017,5804287.1217,550774.27401,9.746051999999487,52.386481999963344
302783,818,1543402018,5804294.36976,550775.968895,9.746078000003434,52.38654699997896
302784,818,1543402019,5804298.17116,550777.835456,9.746105999993684,52.38658099996205
302785,818,1543402020,5804303.77187,550781.589226,9.74616200000136,52.38663099999831
302786,818,1543402021,5804308.03223,550784.81231,9.746210000004728,52.38666900001406
302787,818,1543402022,5804312.7375,550788.030797,9.74625799999665,52.386711000000254
302788,818,1543402023,5804318.33892,550791.8526,9.74631500000637,52.38676100003388
302789,818,1543402024,5804323.82279,550795.063039,9.746363000003807,52.38681000002688
302790,818,1543402025,5804328.97087,550798.072747,9.746407999998086,52.3868560000038
302791,818,1543402026,5804335.78878,550801.201341,9.746455000000347,52.38691700003952
302792,818,1543402027,5804338.81651,550803.552292,9.74649000000042,52.3869440000005
302793,818,1543402028,5804341.85267,550806.719907,9.74653700000439,52.38697099995544
302794,818,1543402029,5804343.10077,550809.089222,9.746572000007706,52.38698200002296
302795,818,1543402030,5804344.34324,550810.914091,9.746598999999843,52.38699299999227
302796,818,1543402031,5804346.14747,550813.277662,9.746633999993064,52.38700899996133
302797,818,1543402032,5804348.7282,550815.429028,9.746666000004913,52.387032000039206
302798,818,1543402033,5804351.19418,550817.241262,9.746693000001567,52.3870540000263
302799,818,1543402034,5804352.98858,550818.652052,9.746713999998924,52.38707000002984
302800,818,1543402035,5804356.35633,550821.612037,9.746758000001677,52.38710000002768
302801,818,1543402036,5804361.50302,550824.485586,9.746800999993727,52.38714599999248
302802,818,1543402037,5804365.75708,550827.096097,9.74683999999382,52.3871839999711
302803,818,1543402038,5804369.22974,550829.442423,9.74687499999432,52.38721499998751
302804,818,1543402039,5804372.58555,550831.245454,9.74690200000561,52.3872449999959
302805,818,1543402040,5804376.50312,550833.587178,9.746936999992446,52.3872799999836
302806,818,1543402041,5804381.11055,550838.099767,9.747003999992533,52.387320999968686
302807,818,1543402042,5804387.60535,550842.252542,9.747066000003446,52.38737900002729
302808,818,1543402043,5804392.64715,550845.739693,9.747117999992652,52.38742399997604
302809,818,1543402044,5804397.35036,550848.753902,9.747163000006775,52.38746600003429
302810,818,1543402045,5804401.26934,550851.23171,9.747200000002138,52.38750099997878
302811,818,1543402046,5804406.42871,550855.330185,9.747260999997607,52.38754699999386
302812,818,1543402047,5804411.13614,550858.752703,9.747311999999956,52.38758900000541
302813,818,1543402048,5804414.0583,550861.649168,9.74735500000554,52.38761499999972
302814,818,1543402049,5804415.74219,550863.129127,9.747376999998416,52.38763000001618
302815,818,1543402050,5804417.97307,550863.71863,9.747386000000798,52.38764999997004
302816,818,1543402051,5804418.32434,550865.416544,9.747410999996552,52.38765300001355
302817,818,1543402052,5804420.43978,550865.598868,9.747413999996398,52.38767200003245
302818,818,1543402053,5804421.78365,550866.469783,9.747427000002066,52.38768399997577
302819,818,1543402054,5804423.01489,550867.205738,9.74743800000648,52.387694999957326
302820,818,1543402055,5804424.35244,550867.464161,9.747441999994148,52.38770699998663
302821,818,1543402056,5804426.02648,550867.991354,9.74744999999632,52.38772199995592
302822,818,1543402057,5804427.25562,550868.523145,9.747458000004787,52.38773300002504
302823,818,1543402058,5804430.28479,550871.010118,9.747494999995846,52.38775999998782
302824,818,1543402059,5804434.07427,550871.71963,9.747506000000367,52.38779399996975
302825,818,1543402060,5804438.77679,550874.665733,9.747550000002311,52.38783600000027
302826,818,1543402061,5804443.46313,550876.046584,9.747570999993382,52.38787800000716
302827,818,1543402062,5804449.04914,550878.370993,9.747606000005408,52.38792800000295
302828,818,1543402063,5804454.19657,550881.312481,9.747650000004896,52.38797399998526
