gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude,tile_lat_idx,tile_lon_idx
529025,38,1520706666,5804374.9115,550679.238253,9.744669000001414,52.38727999998443,324,243
529026,38,1520706667,5804378.27777,550682.062208,9.744711000000326,52.38731000003366,321,245
529027,38,1520706668,5804384.20297,550684.927871,9.744753999996751,52.387362999975785,315,248
529028,38,1520706669,5804388.12748,550687.950255,9.744799000005209,52.38739799998125,311,251
529029,38,1520706670,5804392.83339,550691.236834,9.744847999998116,52.387439999986654,307,255
529030,38,1520706671,5804396.20177,550694.264935,9.744893000001742,52.38747000003742,303,258
529031,38,1520706672,5804399.67226,550696.407174,9.744924999996908,52.387501000022176,300,260
529032,38,1520706673,5804400.46347,550697.62414,9.744942999997887,52.38750800000605,299,261
529033,38,1520706674,5804400.47468,550698.713016,9.744959000000692,52.3875079999565,299,262
529034,38,1520706676,5804401.81082,550698.835377,9.744960999995218,52.38751999999597,298,262
529035,38,1520706677,5804403.04064,550699.435267,9.744969999997346,52.38753100004362,296,263
529036,38,1520706678,5804405.17079,550701.046811,9.744993999996169,52.38755000002335,294,265
529037,38,1520706679,5804407.29533,550702.113917,9.74501000000249,52.38756899998221,292,266
529038,38,1520706680,5804410.76162,550703.847818,9.745035999999091,52.38759999999189,289,267
529039,38,1520706681,5804414.11879,550705.787026,9.745064999996725,52.38763000003698,285,269
529040,38,1520706682,5804417.58998,550707.997304,9.745098000000857,52.38766099996495,282,272
529041,38,1520706683,5804421.84609,550710.812047,9.745140000003476,52.38769900001922,278,275
529042,38,1520706684,5804426.99552,550713.957888,9.745186999992937,52.38774499998309,273,278
529043,38,1520706685,5804431.69864,550716.972199,9.74523199999616,52.38778699996131,268,281
529044,38,1520706686,5804436.85019,550720.322191,9.745282000005815,52.38783300003362,263,284
529045,38,1520706687,5804441.887,550723.33305,9.74532699999503,52.38787800003471,258,287
529046,38,1520706688,5804446.25223,550725.942457,9.745365999998407,52.38791699997368,254,290
529047,38,1520706689,5804451.73536,550729.084828,9.745413000004506,52.387965999996055,248,293
529048,38,1520706690,5804457.77182,550731.949243,9.74545599999718,52.38801999997019,242,296
529049,38,1520706691,5804463.69215,550734.338421,9.745492000001578,52.38807300000172,236,299
529050,38,1520706692,5804467.50546,550737.361862,9.745537000006824,52.38810699997546,232,302
529051,38,1520706693,5804471.76088,550740.108496,9.745578000002034,52.38814499997689,228,304
529052,38,1520706694,5804476.46613,550743.326914,9.74562599999495,52.38818700003209,223,308
529053,38,1520706695,5804479.94015,550745.809351,9.74566299999706,52.388218000013616,220,310
529054,38,1520706696,5804482.07944,550748.305546,9.745699999995455,52.38823700001738,218,313
529055,38,1520706697,5804484.65873,550750.320777,9.745730000004068,52.388260000015386,215,315
529056,38,1520706698,5804488.03556,550754.165422,9.745787000001222,52.38828999999117,212,319
529057,38,1520706699,5804491.96011,550757.187685,9.745832000001068,52.388324999962094,208,322
529058,38,1520706700,5804496.67309,550761.154661,9.745890999998934,52.38836700000141,203,326
529059,38,1520706701,5804501.71694,550764.845975,9.745946000004864,52.38841199995872,198,329
